DrugBank_ID,Drug_Name,Predicted_Disease_ID,Predicted_Disease_Name,Matched_Targets,Bridging_Genes,Rule_Confidence,Rule_Growth_Rate,Validation_Status
DB11877,Basmisanil,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-5,间接机制,1.0,inf,🌟 零样本全新发现
DB00363,Clozapine,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1,间接机制,1.0,24.590361445783135,🌟 零样本全新发现
DB00466,Picrotoxin,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1,间接机制,1.0,24.590361445783135,🌟 零样本全新发现
DB20602,Linaprazan,C0030920,Peptic Ulcer,TARGET_Potassium-transporting_ATPase_alpha_chain_1,ATP4A,1.0,inf,🌟 零样本全新发现
DB00273,Topiramate,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1,间接机制,1.0,24.590361445783135,🌟 零样本全新发现
DB00962,Zaleplon,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1,间接机制,1.0,24.590361445783135,🌟 零样本全新发现
DB01154,Thiamylal,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1,间接机制,1.0,24.590361445783135,🌟 零样本全新发现
DB01341,Dihydroquinidine barbiturate,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1,间接机制,1.0,24.590361445783135,🌟 零样本全新发现
DB01381,Ginkgo biloba,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1,间接机制,1.0,24.590361445783135,🌟 零样本全新发现
DB06119,Cenobamate,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1,间接机制,1.0,24.590361445783135,🌟 零样本全新发现
DB06470,Clomethiazole,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1,间接机制,1.0,24.590361445783135,✅ Spark验证集完美命中
DB00474,Methohexital,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1,间接机制,1.0,24.590361445783135,🌟 零样本全新发现
DB00837,Progabide,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1,间接机制,1.0,24.590361445783135,🌟 零样本全新发现
DB12278,Propiverine,C0020538,Hypertensive disease,TARGET_Voltage-dependent_L-type_calcium_channel_subunit_alpha-1C,间接机制,1.0,inf,🌟 零样本全新发现
DB11633,Isavuconazole,C0020538,Hypertensive disease,TARGET_Voltage-dependent_L-type_calcium_channel_subunit_alpha-1C,间接机制,1.0,inf,🌟 零样本全新发现
DB12923,Gallopamil,C0020538,Hypertensive disease,TARGET_Angiotensin-converting_enzyme,间接机制,1.0,inf,🌟 零样本全新发现
DB13166,Zofenopril,C0020538,Hypertensive disease,TARGET_Angiotensin-converting_enzyme,间接机制,1.0,inf,✅ Spark验证集完美命中
DB20306,Utibapril,C0020538,Hypertensive disease,TARGET_Angiotensin-converting_enzyme,间接机制,1.0,inf,🌟 零样本全新发现
DB21364,Alacepril,C0020538,Hypertensive disease,TARGET_Angiotensin-converting_enzyme,间接机制,1.0,inf,🌟 零样本全新发现
DB14511,Acetate,C0020538,Hypertensive disease,TARGET_Angiotensin-converting_enzyme,间接机制,1.0,inf,🌟 零样本全新发现
DB19598,Idrapril,C0020538,Hypertensive disease,TARGET_Angiotensin-converting_enzyme,间接机制,1.0,inf,🌟 零样本全新发现
DB00568,Cinnarizine,C0020538,Hypertensive disease,TARGET_Voltage-dependent_L-type_calcium_channel_subunit_alpha-1C,间接机制,1.0,inf,🌟 零样本全新发现
DB00393,Nimodipine,C0020538,Hypertensive disease,TARGET_Voltage-dependent_L-type_calcium_channel_subunit_alpha-1C,间接机制,1.0,inf,🌟 零样本全新发现
DB00898,Ethanol,C0020538,Hypertensive disease,TARGET_Voltage-dependent_L-type_calcium_channel_subunit_alpha-1C,间接机制,1.0,inf,🌟 零样本全新发现
DB01373,Calcium,C0020538,Hypertensive disease,TARGET_Voltage-dependent_L-type_calcium_channel_subunit_alpha-1C,间接机制,1.0,inf,🌟 零样本全新发现
DB09227,Barnidipine,C0020538,Hypertensive disease,TARGET_Voltage-dependent_L-type_calcium_channel_subunit_alpha-1C,间接机制,1.0,inf,🌟 零样本全新发现
DB04855,Dronedarone,C0020538,Hypertensive disease,TARGET_Voltage-dependent_L-type_calcium_channel_subunit_alpha-1C,间接机制,1.0,inf,🌟 零样本全新发现
DB09235,Efonidipine,C0020538,Hypertensive disease,TARGET_Voltage-dependent_L-type_calcium_channel_subunit_alpha-1C,间接机制,1.0,inf,✅ Spark验证集完美命中
DB09237,Levamlodipine,C0020538,Hypertensive disease,TARGET_Voltage-dependent_L-type_calcium_channel_subunit_alpha-1C,间接机制,1.0,inf,🌟 零样本全新发现
DB01594,Cinolazepam,C0917801,Sleeplessness,TARGET_Translocator_protein,间接机制,1.0,inf,🌟 零样本全新发现
DB02852,Domoic Acid,C0917801,Sleeplessness,"TARGET_Glutamate_receptor_ionotropic,_kainate_2",间接机制,1.0,inf,🌟 零样本全新发现
DB01174,Phenobarbital,C0917801,Sleeplessness,"TARGET_Glutamate_receptor_ionotropic,_kainate_2",间接机制,1.0,inf,🌟 零样本全新发现
DB00237,Butabarbital,C0917801,Sleeplessness,"TARGET_Glutamate_receptor_ionotropic,_kainate_2",间接机制,1.0,inf,✅ Spark验证集完美命中
DB00475,Chlordiazepoxide,C0917801,Sleeplessness,TARGET_Translocator_protein,间接机制,1.0,inf,🌟 零样本全新发现
DB00404,Alprazolam,C0917801,Sleeplessness,TARGET_Translocator_protein,间接机制,1.0,inf,🌟 零样本全新发现
DB00186,Lorazepam,C0917801,Sleeplessness,TARGET_Translocator_protein,间接机制,1.0,inf,🌟 零样本全新发现
DB17063,ZK-93423,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1,间接机制,1.0,24.590361445783135,🌟 零样本全新发现
DB12590,Indiplon,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1,间接机制,1.0,24.590361445783135,🌟 零样本全新发现
DB12458,Muscimol,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1,间接机制,1.0,24.590361445783135,🌟 零样本全新发现
DB12308,Eltanolone,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1,间接机制,1.0,24.590361445783135,🌟 零样本全新发现
DB07776,Flavone,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1,间接机制,1.0,24.590361445783135,🌟 零样本全新发现
